index,prob_churn,CustomerID
2851,0.7476409109605244,7537-RBWEA
6284,0.7476409109605244,4367-NHWMM
4855,0.7469238734668151,2675-DHUTR
4244,0.7466815807405663,3481-JHUZH
5029,0.7464544850786654,8189-XRIKE
6397,0.7464544850786654,5222-IMUKT
4297,0.7455799824288525,7586-ZATGZ
6125,0.7453216437871282,1818-ESQMW
4666,0.7449031001940573,2800-QQUSO
1878,0.7441218673957998,5129-JLPIS
5784,0.7435254410632055,6078-VESFR
2573,0.7431409509178248,7567-ECMCM
3459,0.7431049630108579,6635-CPNUN
4488,0.742936565727298,6212-ATMLK
3800,0.7429359729417364,6481-ESCNL
2447,0.7424751308492858,5175-WLYXL
5751,0.742427904687294,2495-KZNFB
2108,0.7423564143722424,8705-WZCYL
6025,0.7423564143722424,9752-ZNQUT
3614,0.7423564143722424,4373-VVHQL
3967,0.7416084041098141,9743-DQKQW
5965,0.7413917648885918,6339-DKLMK
6874,0.7412665997973491,5626-MGTUK
6384,0.7411744119923797,9638-JIQYA
6542,0.7399335147296121,2347-WKKAE
5955,0.7399203804226995,7658-UYUQS
2408,0.7398107125467424,9944-AEXBM
3369,0.7397215270334986,6557-BZXLQ
5253,0.7392944685230143,2105-PHWON
7020,0.7390791039777449,9053-EJUNL
3802,0.7390308753058822,1550-EENBN
5110,0.7385940799712808,1482-OXZSY
2739,0.7383466060377807,1346-UFHAX
6738,0.7381099645142125,9979-RGMZT
2754,0.7371796876113423,4468-KAZHE
3081,0.73629953510458,9469-WEJBT
4039,0.7361719645523537,3352-ALMCK
3207,0.7359230174418876,2070-XYMFH
3172,0.7358023552855498,6519-CFDBX
2160,0.7358023552855498,0224-RLWWD
3863,0.7344896998001227,9508-ILZDG
2629,0.7342903342469329,7460-ITWWP
6534,0.7342686251182226,3323-CPBWR
5238,0.7338601351166935,6377-WHAOX
2914,0.7338601351166935,8785-CJSHH
5781,0.7338601351166935,5647-FXOTP
3924,0.7333399604881532,4760-THGOT
3465,0.7333148068531992,3995-WFCSM
2877,0.7331535005991314,9793-WECQC
4279,0.732902738663143,9620-ENEJV
4173,0.7326814314526437,6692-YQHXC
5162,0.7325998215039776,0365-GXEZS
5086,0.7325961256345249,2675-OTVVJ
2468,0.7323468718873005,5173-WXOQV
4923,0.732200543632532,7181-OQCUT
2741,0.7319461902765046,5461-QKNTN
2612,0.7316500328481513,3234-VKACU
2446,0.7309159285980491,4718-DHSMV
2854,0.7303496078026361,3733-LSYCE
6652,0.7297414764046417,4062-HBMOS
3316,0.7292649873112755,3737-XBQDD
3208,0.728925296006194,2085-BOJKI
6191,0.728677446269999,2122-YWVYA
4873,0.7281542977611544,0916-QOFDP
2203,0.7278303245274675,1910-FMXJM
3786,0.727605761358501,4526-ZJJTM
6546,0.7274717330083099,3587-PMCOY
2799,0.7265667376666844,6625-UTXEW
4443,0.7264221792249914,4465-VDKIQ
5447,0.7261968912897038,8993-IZEUX
2197,0.725981382820261,5886-VLQVU
5698,0.7259225877340375,6907-FLBER
3869,0.7258198985108658,6128-AQBMT
1904,0.7257591001530155,8012-SOUDQ
4471,0.7257591001530155,5019-GQVCR
6012,0.725564206628372,6542-LWGXJ
4251,0.725564206628372,3082-VQXNH
3828,0.7250031217905266,5609-IMCGG
2164,0.7247241462415678,0177-PXBAT
2953,0.7231628561459454,9777-WJJPR
4741,0.7228870576749636,9278-VZKCD
3546,0.722675729603125,9168-INPSZ
4428,0.7223779085542164,2831-EBWRN
4046,0.7221326138972327,3987-KQDDU
5836,0.7206708674687095,8313-KTIHG
4953,0.7203745043677107,4553-DVPZG
7021,0.7195962718118175,0666-UXTJO
6126,0.719515932598479,7401-RUBNK
3321,0.7193871456204385,7967-HYCDE
3971,0.719255349166844,0541-FITGH
3386,0.7191710019366567,5153-RTHKF
5563,0.7188425933280803,9699-UBQFS
4581,0.7186636855132955,2587-EKXTS
3306,0.7186512129759155,7442-YGZFK
2205,0.7180228123527018,5168-MSWXT
6530,0.7178665796514786,7798-JVXYM
5134,0.7173080173846907,4636-JGAAI
3814,0.7168999515354714,2792-LSHWX
4444,0.7164750714967016,2921-XWDJH
2273,0.7158346440889356,2782-LFZVW
4848,0.7155103904880881,5404-GGUKR
3293,0.7149413735326424,2018-QKYGT
4858,0.7147452088725074,9522-BNTHX
2101,0.7143041652870901,7277-OZCGZ
7027,0.7134770848731453,1035-IPQPU
6132,0.7134770848731453,7233-DRTRF
3595,0.7126241047264655,2637-FKFSY
2119,0.7125060540744449,7982-VCELR
5398,0.7124750921095698,5895-QSXOD
3343,0.7124750921095698,7020-OZKXZ
4685,0.7124428228303356,6402-EJMWF
2394,0.7122557539175893,9450-TRJUU
4783,0.7118961175737428,7404-JLKQG
6537,0.7117282959966994,6048-QBXKL
2402,0.7116938796450738,7929-DMBCV
6236,0.7116642525688562,2931-FSOHN
